feature,weight
estate,0.06747949186870365
certainly,0.06433587148839033
bar,0.036344752560634214
crestron,0.03550706820779129
design,0.033399517068934334
residence,0.02683221696089538
oceanfront,0.02464948860178061
masterpiece,0.02107661870569114
views,0.019118042327178564
gables,0.0185428539602742
sf,0.015263593560434063
planning,0.015009586181881774
substantial,0.013781453210044732
wine,0.013171645803324349
camp,0.012588735615223882
compound,0.012553475494204868
feet,0.012060495453811954
unique,0.011784324550742445
intracoastal,0.01123486258581185
gated,0.01119107630529357
skyline,0.010159913617534284
staff,0.009951619308160043
using,0.00928235035809314
majestic,0.009042363050419786
liv,0.0090037395520367
butler,0.008773316808301908
marvel,0.008232165038121346
pinnacle,0.007767427403193573
20,0.007377984262603992
summer,0.006411223451705854
designed,0.006393658402596056
wrapped,0.006352203888646942
elevator,0.006332524046918466
walker,0.005799455858084469
charm,0.005774583749903768
reach,0.005657591493834545
worlds,0.005597496674563689
waters,0.0051838576744233965
real,0.005072421064836579
terraces,0.005058572760467972
premier,0.005018729317966513
display,0.004834045100072752
general,0.00463056112031424
ocean,0.004584762409112536
entertaining,0.004546557706117566
amenities,0.004463526635796087
evident,0.00444119642193513
poured,0.004301418832693591
opportunity,0.004225002841503104
property,0.004155488734413357
feature,0.0041370898903820945
250,0.004044865023526385
completion,0.003855130904647388
architect,0.0037852596149428688
terrace,0.0037609292312840987
outdoor,0.0036836719592377707
living,0.003610367463456826
exceptional,0.003555473067831333
site,0.0035395801736630736
options,0.003473145722338842
police,0.0034505017746174122
custom,0.0034102305491614075
lifetime,0.0033246664774652388
consists,0.003275022005803933
spacious,0.0031416442276604698
butlers,0.0031288748086928946
gallery,0.0030915982554189903
build,0.003051277069146814
office,0.003047648285619378
fireplaces,0.002977925739557276
community,0.002889431966320855
story,0.0027590790740716978
palm,0.0027469656033993956
pool,0.002568658922193485
create,0.002539028454498332
walk,0.0025263578404783895
exciting,0.0025230426013287486
john,0.002522090829321525
wolf,0.0025092856088067333
boasts,0.002489609030983108
900,0.002451188075013881
exudes,0.002441949970893791
spa,0.002434378978139663
flamingo,0.0023583164663399
plants,0.002329124352560745
private,0.002328193137088845
combine,0.0022478668505941826
steam,0.0021922174383865694
dock,0.0021489316991169156
tip,0.0021375250661512953
quality,0.0021005776850420346
best,0.00201249410116977
level,0.0019829218124057897
encompass,0.0019656118741718425
yacht,0.0019164885696819425
clay,0.0019006213577154557
150,0.0018994987946484468
progress,0.0018930832146152197
houses,0.0018048853005907715
apartments,0.0017970877916927953
amenity,0.001763088637422246
mansion,0.001761062751026064
class,0.0017522340345221459
