target,feature,weight
y,dornelles,1245.6058582558908
y,fontoura,1245.29573882767
y,manoel,1233.0313032549311
y,eletronico,1225.3334208399901
y,lado,1220.4460525379982
y,antonio,1219.9995847579048
y,academias,1211.8536871591714
y,regional,1210.117901456746
y,jose,1206.8624913666426
y,super,1205.3075679918438
y,moinhos,1199.9130630077561
y,icarai,1198.9661688458255
y,top,1189.9231203426025
y,barao,1175.0521689450252
y,postos,1169.629547014134
y,abbott,1162.673708737886
y,jacuzzi,1155.8858762515592
y,98535,1155.435675621411
y,0727,1155.435675621411
y,maxxi,1154.1833483389055
y,virtual,1153.1763128378661
y,circuito,1148.6527805876249
y,17,1146.401568687099
y,salgado,1141.3552643387811
y,santa,1139.9145517321303
y,licenciado,1139.6371452829917
y,caldeira,1130.8205631664973
y,smart,1114.2331713078092
y,vila,1114.0401318064833
y,<BIAS>,1107.810994251139
y,lucas,1090.9744149261423
y,bairro,1083.4816978988802
y,orla,1081.1900692079944
y,ambiantes,1078.001496671939
y,pracas,1075.2438962170272
y,quarto,1070.711055346007
y,privativos,1068.555878446321
y,senador,1053.700208743132
y,poltrona,1047.18578142568
y,aranha,1029.167510583079
y,facil,1027.1139045858126
y,associacao,1026.5397754175801
y,106,1021.1031736069126
y,usina,1010.6339195922774
y,seca,990.0845208987594
y,supermercados,989.6112625094393
y,bares,983.8203447597334
y,castelo,979.9315437984187
y,eletrico,974.2620435759673
y,vargas,971.7440263776743
y,roupa,967.8014103464084
y,poucos,967.2931473138888
y,fixa,963.6366088330979
y,poltronas,958.232113967475
y,loucas,958.139419094412
y,ilha,954.7885609529039
y,clinicas,950.3897461832385
y,luminarias,950.1507147286393
y,chuveiro,942.6575936606387
y,jardinagem,940.180356343607
y,lan,924.9109205269488
y,instalado,920.145076864399
y,salas,898.2433803129243
y,carencia,897.4280903236358
y,mobilaido,895.9684674982564
y,anita,895.1046182190767
y,ijui,891.6076385895049
y,bela,886.7185340761498
y,colombo,879.9506545726908
y,96,878.3771391750779
y,linhas,876.1657638546603
y,riachuelo,873.921615396459
y,botanico,863.4004108203335
y,espn,858.2808095763867
y,principais,857.5352510046996
y,praca,845.090112186328
y,vida,844.4990182480542
y,marmore,839.364844603333
y,dercoflex,838.169578703877
y,afonso,835.2993822253775
y,areia,831.2570140357711
y,escrivaninha,831.1225178442292
y,belas,830.79882399278
y,monteggia,830.1253825487001
y,bins,826.2338250119283
y,voltada,825.3697874703212
y,vicentino,823.8842915964779
y,modelo,816.1491740625352
y,jari,815.468171476241
y,cassol,806.6120774145706
y,pode,803.325083414129
y,localizada,785.8836997605395
y,visitantes,780.5671494674607
y,carlos,779.1990811399592
y,erechim,772.8824619970546
y,inverter,768.6261229999945
y,federal,767.8219238872407
y,misericordia,753.1581056505674
y,sports,749.2360021411623
y,marista,743.1536947854329
y,independencia,733.4145347749727
y,parada,710.5370297899499
y,primeiros,708.445403521313
y,closet,696.7223302471175
y,vieira,696.399919684729
y,fernandes,696.399919684729
y,unidade,693.8161634933203
y,municipal,686.2195470664883
y,82,686.150926218892
y,aluga,680.6492731359322
y,york,664.8826492858934
y,loft,661.7352001203835
y,sonho,650.3757661993259
y,conosco,650.3757661993259
